GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Numbers_converter,com.app.txt.save.generic,AbstractSaveToTxt,0,7,0,0,0,2,0,1,0,1
Numbers_converter,com.app.validate.impl,FormatValidator,0,10,0,2,0,4,0,3,0,2
Numbers_converter,com.app.formmat_service.impl,FormatServiceImpl,0,56,0,6,0,16,0,8,0,5
Numbers_converter,com.app.txt.save.impl,StringTxtSaveImpl,0,4,0,0,0,2,0,1,0,1
Numbers_converter,com.app.txt.transfer.impl,TransferTxt,0,92,0,14,0,23,0,9,0,2
Numbers_converter,com.app.format,Format,0,51,0,8,0,10,0,7,0,3
Numbers_converter,com.app.txt.load.generic,AbstractLoadFromTxt,0,7,0,0,0,1,0,1,0,1
Numbers_converter,com.app.validate,Validator,0,12,0,2,0,4,0,2,0,1
Numbers_converter,com.app.parser.impl,FormatLineParser,0,50,0,6,0,11,0,4,0,1
Numbers_converter,com.app.txt.load.impl,FormatTxtLoadImpl,0,5,0,0,0,2,0,1,0,1
Numbers_converter,com.app.repository.impl,FormatRepositoryImpl,0,11,0,0,0,4,0,2,0,2
Numbers_converter,com.app.type,Type,0,15,0,0,0,3,0,1,0,1
